rank_vfm,fifa_version,season_label,dataset_gender,sofifa_id,short_name,long_name,age,primary_position,position_group,overall,potential,performance_score,value_eur,wage_eur,annual_wage_eur,total_cost_eur,cost_million_eur,vfm_index,vfm_formula_1_index,vfm_formula_2_index,vfm_formula_3_raw,regression_residual,club_name,league_name,nationality_name,player_url,cost_performance_segment
1,22,FIFA 22,male,177299,A. Gabbarini,Adrián José Gabbarini,35,GK,GK,72,72,70.16,250000.0,500.0,26000.0,276000.0,0.276,100.0,100.0,100.0,1.5398676708581052,8.112258457197036,LDU Quito,Ecuadorian Serie A,Argentina,https://sofifa.com/player/177299/adrian-gabbarini/220002,mid_market
2,22,FIFA 22,male,182959,A. Hruška,Aleš Hruška,35,GK,GK,71,71,69.23,210000.0,500.0,26000.0,236000.0,0.236,99.99479464889906,99.99479464889906,99.99479464889906,1.4978738311437316,7.866390185961862,FC Viktoria Plzeň,Czech Republic Gambrinus Liga,Czech Republic,https://sofifa.com/player/182959/ales-hruska/220002,mid_market
3,22,FIFA 22,male,182270,W. Sandilands,Wayne Sandilands,37,GK,GK,71,71,68.67,210000.0,500.0,26000.0,236000.0,0.236,99.98958929779813,99.9687678933944,99.9843839466972,1.3940396437895535,7.30639018596186,Orlando Pirates,South African Premier Division,South Africa,https://sofifa.com/player/182270/wayne-sandilands/220002,mid_market
4,22,FIFA 22,male,241769,D. Akpeyi,Daniel Akpeyi,35,GK,GK,74,74,72.02,475000.0,500.0,26000.0,501000.0,0.501,99.9843839466972,99.91150903128417,99.98958929779813,1.3880181769454247,7.367124319121189,Kaizer Chiefs,South African Premier Division,Nigeria,https://sofifa.com/player/241769/daniel-akpeyi/220002,mid_market
5,22,FIFA 22,male,223843,D. Frascarelli,Damián Andrés Frascarelli Gutiérrez,36,GK,GK,70,70,67.99,180000.0,500.0,26000.0,206000.0,0.206,99.97917859559628,99.97397324449534,99.97397324449534,1.3812262647568392,7.220450766583802,Sociedad Deportiva Aucas,Ecuadorian Serie A,Uruguay,https://sofifa.com/player/223843/damian-frascarelli/220002,mid_market
6,22,FIFA 22,male,186655,J. Carvallo,José Aurelio Carvallo Alonso,35,GK,GK,68,68,66.67999999999999,130000.0,500.0,26000.0,156000.0,0.156,99.97397324449534,99.98958929779813,99.9687678933944,1.3699597721758083,7.125263543086653,Club Universitario de Deportes,Peruvian Primera División,Peru,https://sofifa.com/player/186655/jose-carvallo/220002,mid_market
7,22,FIFA 22,male,165247,I. Khune,Itumeleng Khune,34,GK,GK,71,71,70.32,325000.0,500.0,26000.0,351000.0,0.351,99.9687678933944,99.93753578678883,99.97917859559628,1.3692580470667608,7.221888958741182,Kaizer Chiefs,South African Premier Division,South Africa,https://sofifa.com/player/165247/itumeleng-khune/220002,mid_market
8,22,FIFA 22,male,219918,O. Cabral,Osvaldo Ramón Cabral,36,GK,GK,69,69,67.15,150000.0,500.0,26000.0,176000.0,0.176,99.96356254229349,99.97917859559628,99.96356254229349,1.3566056615973554,7.068178186658287,12 de Octubre FC,Paraguayan Primera División,Argentina,https://sofifa.com/player/219918/osvaldo-cabral/220002,mid_market
9,22,FIFA 22,male,189024,M. Banguera,Máximo Orlando Banguera Valdivieso,35,GK,GK,67,67,65.83999999999999,110000.0,500.0,26000.0,136000.0,0.136,99.95835719119255,99.9843839466972,99.95835719119255,1.32851688787018,6.884764895850495,Guayaquil City FC,Ecuadorian Serie A,Ecuador,https://sofifa.com/player/189024/maximo-banguera/220002,mid_market
10,22,FIFA 22,male,163616,J. Young,Jamie Young,35,GK,GK,68,68,66.47,130000.0,750.0,39000.0,169000.0,0.169,99.9531518400916,99.94274113788974,99.9531518400916,1.2643347413277575,6.565516069531846,Western United FC,Australian Hyundai A-League,England,https://sofifa.com/player/163616/jamie-young/220002,mid_market
11,22,FIFA 22,male,225983,S. Mpontshane,Siyabonga Mpontshane,35,GK,GK,65,65,64.16,80000.0,500.0,26000.0,106000.0,0.106,99.94794648899068,99.96356254229349,99.93753578678883,1.2246468518357496,6.293713597758952,Orlando Pirates,South African Premier Division,South Africa,https://sofifa.com/player/225983/siyabonga-mpontshane/220002,low_perf_low_cost__budget_depth
12,22,FIFA 22,male,142902,A. Pyatov,Andriy Pyatov,37,GK,GK,75,75,72.3,625000.0,500.0,26000.0,651000.0,0.651,99.94274113788974,99.79178595596274,99.94794648899068,1.2217305892194936,6.5027289341129375,Shakhtar Donetsk,Ukrainian Premier League,Ukraine,https://sofifa.com/player/142902/andriy-pyatov/220002,mid_market
13,22,FIFA 22,male,198355,S. Clark,Steve Clark,35,GK,GK,72,72,70.16,250000.0,3000.0,156000.0,406000.0,0.406,99.93753578678883,99.85945552027485,99.94274113788974,1.2183122932456558,6.42583043100538,Portland Timbers,USA Major League Soccer,United States,https://sofifa.com/player/198355/steve-clark/220002,mid_market
14,22,FIFA 22,male,192792,P. Kovář,Přemysl Kovář,35,GK,GK,65,65,64.07,80000.0,500.0,26000.0,106000.0,0.106,99.93233043568789,99.95835719119255,99.92712508458695,1.207959214582399,6.203713597758949,SK Slavia Praha,Czech Republic Gambrinus Liga,Czech Republic,https://sofifa.com/player/192792/premysl-kovar/220002,low_perf_low_cost__budget_depth
15,22,FIFA 22,male,214190,L. Castellanos,Andrés Leandro Castellanos Serrano,37,GK,GK,70,70,67.53,180000.0,1000.0,52000.0,232000.0,0.232,99.92712508458695,99.89068762688044,99.93233043568789,1.1969050799721561,6.241084637625384,Club Independiente Santa Fe,Colombian Liga Postobón,Colombia,https://sofifa.com/player/214190/leandro-castellanos/220002,mid_market
16,22,FIFA 22,male,183596,E. Domaschke,Erik Domaschke,35,GK,GK,65,65,64.00999999999999,80000.0,500.0,26000.0,106000.0,0.106,99.91931705793556,99.95054916454114,99.91931705793556,1.1968341230801651,6.143713597758946,SV Meppen,German 3. Bundesliga,Germany,https://sofifa.com/player/183596/erik-domaschke/220002,low_perf_low_cost__budget_depth
17,22,FIFA 22,male,259769,M. Heredia,Manuel Alexander Heredia Rojas,35,GK,GK,65,65,64.00999999999999,80000.0,500.0,26000.0,106000.0,0.106,99.91931705793556,99.95054916454114,99.91931705793556,1.1968341230801651,6.143713597758946,Carlos A. Mannucci,Peruvian Primera División,Peru,https://sofifa.com/player/259769/manuel-heredia/220002,low_perf_low_cost__budget_depth
18,22,FIFA 22,male,228232,D. Azcona,Librado Daniel Azcona Salinas,37,GK,GK,67,67,65.07,110000.0,500.0,26000.0,136000.0,0.136,99.91150903128417,99.93233043568789,99.90109832908229,1.185744880258186,6.114764895850499,Club River Plate Asunción,Paraguayan Primera División,Ecuador,https://sofifa.com/player/228232/daniel-azcona/220002,low_perf_low_cost__budget_depth
